时间,即时通信,网络视频,网络支付,网络购物,网络新闻,网络音乐,网络直播,网络游戏,网上外卖,网络文学,网约车,在线办公,在线旅游预订,在线医疗,搜索引擎,互联网理财,在线教育
22-Dec,103807,103057,91144,84529,78325,68420,75065,52168,52116,49233,43708,53962,42272,36254,,,
22-Jun,102708,99488,90444,84057,78807,72789,71627,55239,,49322,40507,46066,33250,29984,82147,,
21-Dec,100666,97471,90363,84210,77109,72946,70337,55354,54416,50159,45261,46884,39710,29788,82884,19427,
21-Jun,98330,94384,87221,81206,75987,68098,63769,50925,46859,46127,39651,38065,36655,23993,79544,16623,32493
20-Dec,98111,92677,85434,78241,74274,65825,61685,51793,41883,46013,36528,34560,34244,21480,76977,16988,34171
20-Jun,93079,88821,80500,74939,72507,63855,56230,53987,40903,46704,34011,19908,,27602,76554,14938,38060
20-Mar,89613,85044,76798,71027,73072,63513,55982,53182,39780,45538,36230,,37296,,75015,16356,42296
19-Jun,82470,75877,63305,63882,68587,60789,43322,49356,42118,45454,40426,,41815,,69470,16972,23246
18-Dec,79172,72486,60040,61011,67473,57560,39676,48384,40601,43201,38947,,41001,,68132,15138,20123
18-Jun,75583,71107,56893,56892,66285,55482,42503,48552,36387,40595,38773,,39285,,65688,16855,17186
17-Dec,72023,57892,53110,53332,64689,54809,42209,44161,34338,37774,34346,,37578,,63956,12881,15518
17-Jun,69163,56482,51104,51443,62458,52413,34259,42164,29534,35255,30832,,,,60945,12614,14426
16-Dec,66628,54455,47450,46670,61390,50313,34431,41704,20856,33319,24908,,29922,,60238,9890,13764
16-Jun,64177,51391,45476,44772,57927,50214,32476,39108,14966,30759,,,26361,,59258,10140,11789
15-Dec,62408,50391,41618,41325,56440,50137,,39148,11356,29674,,,25955,,56623,9026,11014
15-Jun,60626,46121,35886,37391,55467,48046,,38021,,28467,,,22903,,53615,7849,
14-Dec,58776,43298,30431,36142,51894,47807,,36585,,29385,,,22173,,52223,7849,
14-Jun,56423,43877,29227,33151,50316,48761,,36811,,28939,,,18960,,50749,6383,
13-Dec,53215,42820,26020,30189,49132,45312,,33803,,27441,,,18077,,48966,,
13-Jun,49706,38861,24438,27091,46092,45614,,34533,,24837,,,13256,,47038,,
12-Dec,46775,37183,22065,24202,39232,43586,,33569,,23344,,,11167,,45110,,
12-Jun,44515,34999,18722,20989,39232,41060,,33105,,19457,,,4257,,42861,,
11-Dec,41510,32531,16676,19395,36687,38585,,32428,,20268,,,4207,,40740,,
11-Jun,38509,30119,15326,17266,36230,38170,,31137,,19497,,,3686,,38606,,
10-Dec,35258,28398,13719,16051,35304,36218,,30410,,19481,,,3613,,37453,,
10-Jun,30408,26544,12810,14196,32970,34650,,29610,,18816,,,3612,,32046,,
9-Dec,27233,24044,9406,10800,30769,32074,,26454,,16261,,,3024,,28134,,
9-Jun,24404,22240,7571,8788,26601,28899,,21699,,,,,1386,,23457,,
8-Dec,22400,20200,5200,7400,23400,24900,,18700,,,,,1700,,20300,,
8-Jun,19536,17963,5697,6329,20620,21366,,14746,,,,,,,17508,,
7-Dec,17094,,3318,4641,15456,18186,,12453,,,,,,,15204,,
