省份,GDP,year
广东,80854.91,2016
江苏,77388.28,2016
山东,68024.49,2016
浙江,47251.36,2016
河南,40471.79,2016
四川,32934.54,2016
湖北,32665.38,2016
福建,28810.58,2016
湖南,31551.37,2016
上海,28178.65,2016
安徽,24407.62,2016
河北,32070.45,2016
北京,25669.13,2016
陕西,19399.59,2016
江西,18499,2016
重庆,17740.59,2016
辽宁,22246.9,2016
云南,14788.42,2016
广西,18317.64,2016
山西,13050.41,2016
内蒙古,18128.1,2016
贵州,11776.73,2016
新疆,9649.7,2016
天津,17885.39,2016
黑龙江,15386.09,2016
吉林,14776.8,2016
甘肃,7200.37,2016
海南,4053.2,2016
宁夏,3168.59,2016
青海,2572.49,2016
西藏,1151.41,2016
广东,72812.55,2015
江苏,70116.38,2015
山东,63002.33,2015
浙江,42886.49,2015
河南,37002.16,2015
四川,30053.1,2015
湖北,29550.19,2015
福建,25979.82,2015
湖南,28902.21,2015
上海,25123.45,2015
安徽,22005.63,2015
河北,29806.11,2015
北京,23014.59,2015
陕西,18021.86,2015
江西,16723.78,2015
重庆,15717.27,2015
辽宁,28669.02,2015
云南,13619.17,2015
广西,16803.12,2015
山西,12766.49,2015
内蒙古,17831.51,2015
贵州,10502.56,2015
新疆,9324.8,2015
天津,16538.19,2015
黑龙江,15083.67,2015
吉林,14063.13,2015
甘肃,6790.32,2015
海南,3702.76,2015
宁夏,2911.77,2015
青海,2417.05,2015
西藏,1026.39,2015
广东,67809.85,2014
江苏,65088.32,2014
山东,59426.59,2014
浙江,40173.03,2014
河南,34938.24,2014
四川,28536.66,2014
湖北,27379.22,2014
福建,24055.76,2014
湖南,27037.32,2014
上海,23567.7,2014
安徽,20848.75,2014
河北,29421.15,2014
北京,21330.83,2014
陕西,17689.94,2014
江西,15714.63,2014
重庆,14262.6,2014
辽宁,28626.58,2014
云南,12814.59,2014
广西,15672.89,2014
山西,12761.49,2014
内蒙古,17770.19,2014
贵州,9266.39,2014
新疆,9273.46,2014
天津,15726.93,2014
黑龙江,15039.38,2014
吉林,13803.14,2014
甘肃,6836.82,2014
海南,3500.72,2014
宁夏,2752.1,2014
青海,2303.32,2014
西藏,920.83,2014
广东,62474.79,2013
江苏,59753.37,2013
山东,55230.32,2013
浙江,37756.59,2013
河南,32191.3,2013
四川,26392.07,2013
湖北,24791.83,2013
福建,21868.49,2013
湖南,24621.67,2013
上海,21818.15,2013
安徽,19229.34,2013
河北,28442.95,2013
北京,19800.81,2013
陕西,16205.45,2013
江西,14410.19,2013
重庆,12783.26,2013
辽宁,27213.22,2013
云南,11832.31,2013
广西,14449.9,2013
山西,12665.25,2013
内蒙古,16916.5,2013
贵州,8086.86,2013
新疆,8443.84,2013
天津,14442.01,2013
黑龙江,14454.91,2013
吉林,13046.4,2013
甘肃,6330.69,2013
海南,3177.56,2013
宁夏,2577.57,2013
青海,2122.06,2013
西藏,815.67,2013
广东,57067.92,2012
江苏,54058.22,2012
